Date,Country_Region,Doses_admin,People_at_least_one_dose
2021-10-23,Venezuela,16127242.0,9926613.0
2021-10-24,Angola,5661085.0,4126328.0
2021-10-24,Venezuela,16127242.0,9926613.0
2021-10-25,Angola,5940208.0,4126328.0
2021-10-25,Venezuela,16127242.0,9926613.0
2021-10-26,Angola,5940208.0,4126328.0
2021-10-26,Venezuela,16127242.0,9926613.0
2021-10-27,Angola,6164219.0,4498272.0
2021-10-27,Venezuela,16127242.0,9926613.0
2021-10-28,Angola,6164219.0,4498272.0
2021-10-28,Venezuela,16127242.0,9926613.0
2021-10-29,Angola,6164219.0,4498272.0
2021-10-29,Venezuela,16127242.0,9926613.0
2021-10-30,Angola,6164219.0,4498272.0
2021-10-30,Venezuela,16127242.0,9926613.0
2021-10-31,Angola,6164219.0,4498272.0
2021-10-31,Venezuela,16127242.0,9926613.0
2021-11-01,Angola,6164219.0,4498272.0
2021-11-01,Venezuela,16127242.0,9926613.0
2021-11-02,Angola,6164219.0,4498272.0
2021-11-02,Venezuela,16127242.0,9926613.0
2021-11-03,Angola,6647925.0,4846094.0
2021-11-03,Venezuela,16127242.0,9926613.0
2021-11-04,Angola,6647925.0,4846094.0
2021-11-04,Venezuela,16127242.0,9926613.0
2021-11-05,Angola,6647925.0,4846094.0
2021-11-05,Venezuela,16127242.0,9926613.0
2021-11-06,Angola,6647925.0,4846094.0
2021-11-06,Venezuela,23156914.0,13858057.0
2021-11-07,Angola,6647925.0,4846094.0
2021-11-07,Venezuela,23156914.0,13858057.0
2021-11-08,Angola,7246966.0,5269623.0
2021-11-08,Venezuela,23156914.0,13858057.0
2021-11-09,Angola,7246966.0,5269623.0
2021-11-09,Venezuela,23156914.0,13858057.0
2021-11-10,Angola,7246966.0,5269623.0
2021-11-10,Venezuela,23156914.0,13858057.0
2021-11-11,Angola,7246966.0,5269623.0
2021-11-11,Venezuela,23156914.0,13858057.0
2021-11-12,Angola,7806481.0,5802574.0
2021-11-12,Venezuela,23156914.0,13858057.0
2021-11-13,Angola,7806481.0,5802574.0
2021-11-13,Venezuela,23156914.0,13858057.0
2021-11-14,Angola,7806481.0,5802574.0
2021-11-14,Venezuela,23156914.0,13858057.0
2021-11-15,Angola,7806481.0,5802574.0
2021-11-15,Venezuela,23156914.0,13858057.0
2021-11-16,Angola,7806481.0,5802574.0
2021-11-16,Venezuela,23156914.0,13858057.0
2021-11-17,Angola,7806481.0,5802574.0
2021-11-17,Venezuela,23156914.0,13858057.0
2021-11-18,Angola,7806481.0,5802574.0
2021-11-18,Venezuela,23156914.0,13858057.0
2021-11-19,Angola,8231981.0,5950213.0
2021-11-19,Venezuela,23156914.0,13858057.0
2021-11-20,Angola,8231981.0,5950213.0
2021-11-20,Venezuela,23156914.0,13858057.0
2021-11-21,Angola,8231981.0,5950213.0
2021-11-21,Venezuela,23156914.0,13858057.0
2021-11-22,Angola,8798259.0,6145451.0
2021-11-22,Venezuela,23156914.0,13858057.0
2021-11-23,Angola,8798259.0,6145451.0
2021-11-23,Venezuela,23156914.0,13858057.0
2021-11-24,Angola,8798259.0,6145451.0
2021-11-24,Venezuela,23156914.0,13858057.0
2021-11-25,Angola,9026310.0,6266044.0
2021-11-25,Venezuela,23156914.0,13858057.0
2021-11-26,Angola,9026310.0,6266044.0
2021-11-26,Venezuela,23156914.0,13858057.0
2021-11-27,Angola,9026310.0,6266044.0
2021-11-27,Venezuela,23156914.0,13858057.0
2021-11-28,Angola,9026310.0,6266044.0
2021-11-28,Venezuela,23156914.0,13858057.0
2021-11-29,Angola,9026310.0,6266044.0
2021-11-29,Venezuela,23156914.0,13858057.0
2021-11-30,Angola,9026310.0,6266044.0
2021-11-30,Venezuela,26314390.0,16415684.0
2021-12-01,Angola,9026310.0,6266044.0
2021-12-01,Venezuela,26314390.0,16415684.0
2021-12-02,Angola,9026310.0,6266044.0
2021-12-02,Venezuela,26314390.0,16415684.0
2021-12-03,Angola,9847459.0,6266044.0
2021-12-03,Venezuela,26314390.0,16415684.0
2021-12-04,Angola,9847459.0,6266044.0
2021-12-04,Venezuela,26314390.0,16415684.0
2021-12-05,Angola,9847459.0,6266044.0
2021-12-05,Venezuela,26314390.0,16415684.0
2021-12-06,Angola,9847459.0,6266044.0
2021-12-06,Venezuela,26314390.0,16415684.0
2021-12-07,Angola,10018061.0,6737721.0
2021-12-07,Venezuela,26314390.0,16415684.0
2021-12-08,Angola,10018061.0,6737721.0
2021-12-08,Venezuela,26314390.0,16415684.0
2021-12-09,Angola,10018061.0,6737721.0
2021-12-09,Venezuela,26314390.0,16415684.0
2021-12-10,Angola,10319552.0,7003795.0
2021-12-10,Venezuela,26314390.0,16415684.0
2021-12-11,Angola,10319552.0,7003795.0
2021-12-11,Venezuela,26314390.0,16415684.0
2021-12-12,Angola,10319552.0,7003795.0
2021-12-12,Venezuela,26314390.0,16415684.0
2021-12-13,Angola,10319552.0,7003795.0
2021-12-13,Venezuela,26314390.0,16415684.0
2021-12-14,Angola,10319552.0,7003795.0
2021-12-14,Venezuela,26314390.0,16415684.0
